,0
symbol,FBIZ
price,18.99
beta,1.20659
volAvg,16616
mktCap,161761760
lastDiv,0.66
range,12.86-27.35
changes,0.56
companyName,First Business Financial Services Inc
currency,USD
cik,0001521951
isin,US3193901002
cusip,319390100
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.firstbusiness.com/
description,"First Business Financial Services, Inc. operates as a bank holding company, which engages in the provision of commercial banking services. The company is headquartered in Madison, Wisconsin and currently employs 289 full-time employees. The firm engages in the commercial banking business through its bank subsidiaries, which include First Business Bank (FBB), First Business Bank-Milwaukee (FBB-Milwaukee) and Alterra Bank (Alterra) (FBB and FBB-Milwaukee and, together with FBB, the Banks). The operations of FBFS are conducted through the Banks and certain subsidiaries of FBB. The Banks operate as business banks focusing on delivering a line of commercial banking products, including commercial loans and commercial real estate loans, and services to meet the needs of small- and medium-sized businesses, business owners, executives, professionals and high net worth individuals. Its business lines include commercial lending, asset-based financing, equipment financing, small business administration (SBA) lending, treasury management services, and trust and investment services. Its investments include short-term investments and securities."
ceo,Mr. Corey Chambas
sector,Financial Services
country,US
fullTimeEmployees,301
phone,16082388008
address,401 Charmany Dr
city,Madison
state,WISCONSIN
zip,53719
dcfDiff,-21.24
dcf,24.8401
image,https://financialmodelingprep.com/image-stock/FBIZ.png
ipoDate,2005-10-07
defaultImage,False
