,0
symbol,FCCO
price,16.48
beta,0.67732
volAvg,15440
mktCap,123483152
lastDiv,0.48
range,12.23-22.0
changes,0.16
companyName,First Community Corp (South Carolina)
currency,USD
cik,0000932781
isin,US3198351047
cusip,319835104
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Banks Regional
website,https://www.firstcommunitysc.com/
description,"First Community Corp. (South Carolina) is a bank holding company, which engages in the provision of commercial banking services through its subsidiary, First Community Bank. The company is headquartered in Lexington, South Carolina and currently employs 242 full-time employees. The Bank offers commercial and retail banking services to small-to-medium sized businesses, professional concerns and individuals, primarily in Richland, Lexington, Kershaw and Newberry Counties of South Carolina and the surrounding areas. The Bank offers a range of traditional banking products and services for professionals and small-to medium-sized businesses, including consumer and commercial, mortgage, brokerage and investment, and insurance services. The Bank also offers online banking to its customers. Its other services include Internet banking, cash management services, safe deposit boxes, traveler checks, direct deposit of payroll and social security checks, and automatic drafts for various accounts. The Bank offers non-deposit investment products and other investment brokerage services through a registered representative with an affiliation through LPL Financial."
ceo,Mr. Michael Crapps
sector,Financial Services
country,US
fullTimeEmployees,242
phone,18032538875
address,5455 Sunset Blvd
city,Lexington
state,SOUTH CAROLINA
zip,29072
dcfDiff,-18.6
dcf,1984.42
image,https://financialmodelingprep.com/image-stock/FCCO.png
ipoDate,1998-06-30
defaultImage,False
