,0
symbol,FCEL
price,2.735
beta,2.19027
volAvg,18386833
mktCap,806001730
lastDiv,0.0
range,0.48-3.5
changes,0.175
companyName,Fuelcell Energy Inc
currency,USD
cik,0000886128
isin,US35952H6018
cusip,35952H601
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Electrical Equipment & Parts
website,https://www.fuelcellenergy.com/
description,"FuelCell Energy, Inc. engages in the provision of fuel cell power plant production and research. The company is headquartered in Danbury, Connecticut and currently employs 431 full-time employees. The firm is engaged in designing, manufacturing, installing, operating and maintaining fuel cell power solutions. The firm also provides turnkey power generation solutions to the customers, including power plant installation, operations and maintenance. The firm's segment is fuel cell power plant production and research. The firm offers its services to various sectors, including utility companies, municipalities, universities, government entities and a range of industrial and commercial enterprises. The Company, by utilizing its Direct FuelCell (DFC) plants, is commercializing a tri-generation distributed hydrogen configuration that generates electricity, heat and hydrogen for industrial and/or transportation uses, as well as a fuel cell carbon capture solution for coal or gas-fired power plants. The firm is also developing and commercializing solid oxide fuel cell (SOFC) plants for sub-megawatt applications."
ceo,Mr. Jason Few
sector,Industrials
country,US
fullTimeEmployees,301
phone,12038256000
address,3 Great Pasture Rd
city,Danbury
state,CONNECTICUT
zip,06810
dcfDiff,
dcf,2.35127
image,https://financialmodelingprep.com/image-stock/FCEL.jpg
ipoDate,1992-06-25
defaultImage,True
