,0
symbol,FEI
price,5.41
beta,1.81935
volAvg,278756
mktCap,254308944
lastDiv,0.8499999999999999
range,2.44-12.32
changes,-0.01
companyName,First Trust MLP and Energy Income Fund
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.ftportfolios.com/Retail/Cef/CefSummary.aspx
description,"First Trust MLP and Energy Income Fund is a non-diversified, closed-end management investment company. The Fund's investment objective is to seek a high level of total return with an emphasis on current distributions paid to common shareholders. It seeks to provide its shareholders with a vehicle to invest in a portfolio of cash generating securities of energy companies. The Fund, under normal market conditions, invests approximately 85% of its managed assets in equity and debt securities of master limited partnerships (MLPs), MLP-related entities, and other energy sector and energy utilities companies. It invests in various sectors, such as chemicals, gas utilities, electric utilities, multi-utilities, and oil, gas and consumable fuels. Its investment advisor is First Trust Advisors L.P."
ceo,Mr. James Dykas
sector,Financial Services
country,US
fullTimeEmployees,
phone,16307658000
address,10 Westport Rd Ste C101A
city,Boston
state,MASSACHUSETTS
zip,60187
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/FEI.png
ipoDate,2012-11-28
defaultImage,False
