,0
symbol,FEN
price,10.18
beta,1.64065
volAvg,98029
mktCap,203811744
lastDiv,1.7599999999999998
range,6.03-23.29
changes,0.06
companyName,First Trust Energy Income and Growth Fund
currency,USD
cik,
isin,US33738G1040
cusip,33738G104
exchange,NYSE American
exchangeShortName,AMEX
industry,Asset Management
website,https://www.ftportfolios.com/Retail/Cef/CefSummary.aspx?Ticker=FEN
description,"First Trust Energy Income and Growth Fund (the Fund) is a non-diversified, closed-end management investment company. The Fund's investment objective is to seek a high level of after-tax total return with an emphasis on current distributions paid to shareholders. The Fund seeks to provide its shareholders with a vehicle to invest in a portfolio of securities of energy companies. The Fund focuses on investing in publicly traded master limited partnerships (MLPs) and related public entities in energy sector. It invests at least 85% of its managed assets in securities issued by energy companies, energy sector MLPs and MLP-related entities, and at least 65% of its managed assets in equity securities of such MLPs and MLP-related entities. Its portfolio includes a range of industries, such as pipelines, electric power, propane, natural gas utility, gathering and processing, and coal. Its investment advisor is First Trust Advisors L.P. Energy Income Partners, LLC is its investment sub-advisor."
ceo,Mr. James Dykas
sector,Financial Services
country,US
fullTimeEmployees,
phone,16307658000
address,10 Westport Rd Ste C101A
city,Boston
state,MASSACHUSETTS
zip,60187
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/FEN.png
ipoDate,2004-06-25
defaultImage,False
