,0
symbol,FFA
price,16.04
beta,1.05353
volAvg,37916
mktCap,320524128
lastDiv,1.14
range,9.17-17.75
changes,0.21
companyName,First Trust Enhanced Equity Income Fund
currency,USD
cik,
isin,US3373181094
cusip,337318109
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.ftportfolios.com/Retail/cef/cefsummary.aspx?Ticker=FFA
description,"First Trust Enhanced Equity Income Fund (the Fund) is a diversified, closed-end management investment company. The Fund's investment objective is to provide a high level of current income and gains and, to a lesser extent, capital appreciation. The Fund invests in a diversified portfolio of equity securities. Under normal market conditions, the Fund pursues an integrated investment strategy, in which the Fund invests all of its managed assets in a diversified portfolio of common stocks of the United States corporations and the United States dollar-denominated equity securities of the non-United States issuers. These securities are traded on the United States securities exchanges. In addition, on an ongoing and consistent basis, the Fund writes (sells) covered call options on a portion of the Fund's managed assets. First Trust Advisors L.P. is the investment advisor of the Fund. Chartwell Investment Partners, LLC is the sub-advisor of the Fund."
ceo,Mr. James Dykas
sector,Financial Services
country,US
fullTimeEmployees,
phone,16307658000
address,120 E Liberty Dr Ste 400
city,Boston
state,MASSACHUSETTS
zip,60187
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/FFA.png
ipoDate,2004-08-27
defaultImage,False
