,0
symbol,FMC
price,108.735
beta,1.02079
volAvg,613506
mktCap,14109127700
lastDiv,1.76
range,56.77-115.91
changes,1.925
companyName,FMC Corp
currency,USD
cik,0000037785
isin,US3024913036
cusip,302491303
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Agricultural Inputs
website,http://www.fmc.com
description,"FMC Corp. engages in the discovery, development, and production of agricultural chemicals for crop protection, plant health, and professional pest and turf management. The company is headquartered in Philadelphia, Pennsylvania and currently employs 7,300 full-time employees. The firm operates in three business segments: FMC Agricultural Solutions, FMC Health and Nutrition, and FMC Lithium. As of December 31, 2016, the FMC Agricultural Solutions segment developed, marketed and sold three classes of crop protection chemicals: insecticides, herbicides and fungicides. The firm's FMC Agricultural Solutions segment operates in the agrochemicals industry. This segment develops, manufactures and sells a portfolio of professional pest control, and lawn and garden products. The FMC Health and Nutrition segment focuses on nutritional ingredients, health excipients and functional health ingredients. The firm's FMC Health and Nutrition segment focuses on food ingredients, pharmaceutical excipients and omega-3 oils. The firm's FMC Lithium segment manufactures lithium for use in a range of lithium products."
ceo,Dr. Pierre Brondeau
sector,Basic Materials
country,US
fullTimeEmployees,6400
phone,12152996668
address,2929 Walnut St
city,Philadelphia
state,PENNSYLVANIA
zip,19104
dcfDiff,-85.17
dcf,109.309
image,https://financialmodelingprep.com/image-stock/FMC.png
ipoDate,1948-09-10
defaultImage,False
