,0
symbol,FOR
price,18.6
beta,2.2441
volAvg,90832
mktCap,893951360
lastDiv,0.0
range,9.43-23.11
changes,0.3
companyName,Forestar Group Inc
currency,USD
cik,0001406587
isin,US3462321015
cusip,346232101
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Real Estate Services
website,http://www.forestargroup.com/
description,"Forestar Group, Inc. is a residential and mixed-use real estate development company. The company is headquartered in Arlington, Texas and currently employs 78 full-time employees. The firm operates through three segments. The Real Estate segment secures entitlements and develops infrastructure on its lands, for single-family residential and mixed-use communities. The Mineral resources segment is focused on its owned oil and gas mineral interests through promoting exploration, development and production activities. The Other segment manages its timber holdings, recreational leases and water resource initiatives. As of December 31, 2016, its core community development business had directly or through ventures interests in 50 residential and mixed-use projects consisting of 4,600 acres of real estate located in 10 states and 14 markets. As of December 31, 2016, its non-core assets included approximately 523,000 net acres of owned mineral assets, 19,000 acres of timberland and undeveloped land, four multifamily assets and approximately 20,000 acres of groundwater leases."
ceo,Mr. Daniel Bartok
sector,Real Estate
country,US
fullTimeEmployees,78
phone,18177691860
address,2221 E Lamar Blvd Ste 790
city,Arlington
state,TEXAS
zip,
dcfDiff,-18.85
dcf,26.8232
image,https://financialmodelingprep.com/image-stock/FOR.png
ipoDate,2007-12-12
defaultImage,False
