,0
symbol,FOUR
price,57.975
beta,0.0
volAvg,798158
mktCap,4640191500
lastDiv,0.0
range,30.0-64.35
changes,0.085
companyName,Shift4 Payments Inc
currency,USD
cik,0001794669
isin,US82452J1097
cusip,82452J109
exchange,NYSE
exchangeShortName,NYSE
industry,Software Infrastructure
website,
description,"Shift4 Payments Inc is a provider of integrated payment processing and technology solutions. The Company’s payment platform provides omni-channel card acceptance and processing solutions, including end-to-end payment processing for a broad range of payment types, merchant acquiring, omni-channel gateway, software integrations, integrated and mobile point of sale (POS) solutions, security and risk management solutions, and reporting and analytical tools. Its technology solutions include Lighthouse five, Integrated Point-of-Sale (iPOS), Mobile POS and Marketplace. Lighthouse five offers cloud-based suite of business intelligence tools, including customer engagement, social media management, online reputation management, scheduling and product pricing, as well as reporting and analytics. Through Integrated Point-of-Sale (iPOS), it provides POS workstations pre-loaded with software suites and integrated payment functionality. It also enables integrations into third-party applications."
ceo,Mr. Jared Isaacman
sector,Technology
country,US
fullTimeEmployees,738
phone,18882762108
address,2202 North Irving Street
city,Allentown
state,PENNSYLVANIA
zip,18109
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/FOUR.jpg
ipoDate,2020-06-05
defaultImage,True
