,0
symbol,FRT
price,89.16
beta,0.91501
volAvg,663578
mktCap,6744696300
lastDiv,4.21
range,64.11-133.15
changes,3.83
companyName,Federal Realty Investment Trust
currency,USD
cik,0000034903
isin,US3137472060
cusip,313747206
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Retail
website,http://www.federalrealty.com/
description,"Federal Realty Investment Trust is an equity real estate investment trust, which engages in the ownership, management and redevelopment of high quality retail focus properties. The company is headquartered in Rockville, Maryland and currently employs 298 full-time employees. The firm specializes in the ownership, management and redevelopment of retail and mixed-use properties located primarily in affluent communities in selected metropolitan markets in the Northeast and Mid-Atlantic regions of the United States, as well as in California and South Florida. The firm owns and has interest in community and neighborhood shopping centers and mixed-use properties. The Company’s tenants range from sole proprietorships to national retailers, or corporate group of tenants."
ceo,Mr. Donald Wood
sector,Real Estate
country,US
fullTimeEmployees,308
phone,13019988100
address,1626 E Jefferson St
city,Rockville
state,MARYLAND
zip,20852
dcfDiff,
dcf,75.4744
image,https://financialmodelingprep.com/image-stock/FRT.jpg
ipoDate,1984-12-17
defaultImage,True
