,0
symbol,GDDY
price,72.04
beta,0.89396
volAvg,1356160
mktCap,12167339000
lastDiv,0.0
range,40.25-89.0
changes,-0.47
companyName,GoDaddy Inc
currency,USD
cik,0001609711
isin,US3802371076
cusip,380237107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Software Infrastructure
website,https://investors.godaddy.net/
description,"GoDaddy, Inc. engages in the provision of domain name registration and web hosting services. The company is headquartered in Scottsdale, Arizona and currently employs 6,821 full-time employees. The firm delivers cloud-based products and personalized customer care. The company operates a domain marketplace, where its customers can find the digital real estate that matches their idea. The company provides Website building, hosting and security tools to help customers construct and protect online presence. The company provides applications that enable connecting to customers and managing businesses. The firm provides search, discovery and recommendation tools, as well as a selection of domain name for ventures. The company provides productivity tools, such as domain-specific e-mail, online storage, invoicing, bookkeeping and payment solutions to run ventures, as well as marketing products. The firm's products, including GoCentral enable to build a Website or online store for both desktop and mobile. Its products are powered by a cloud platform and enable its customers to get found online."
ceo,Mr. Amanpal Bhutani
sector,Technology
country,US
fullTimeEmployees,7024
phone,14805058800
address,14455 N Hayden Rd
city,Scottsdale
state,ARIZONA
zip,85260
dcfDiff,22.25
dcf,84.4085
image,https://financialmodelingprep.com/image-stock/GDDY.jpg
ipoDate,2015-04-02
defaultImage,True
