,0
symbol,GFL
price,22.73
beta,0.0
volAvg,1551156
mktCap,7418253800
lastDiv,0.03
range,11.92-23.45
changes,0.12
companyName,GFL Environmental Inc
currency,CAD
cik,0001780232
isin,CA36168Q1046
cusip,36168Q104
exchange,NYSE
exchangeShortName,NYSE
industry,Waste Management
website,
description,"GFL Environmental, Inc. engages in the provision of ecological solutions. The company is headquartered in Vaughan, Ontario. The Company’s diversified offerings include non-hazardous solid waste management, infrastructure & soil remediation and liquid waste management services. The company operates through three segments: Solid Waste, which includes hauling, landfill, transfers and material recovery facilities; Infrastructure and Soil Remediation, and Liquid Waste. Its solid waste management business line includes the collection, transportation, transfer, recycling and disposal of non-hazardous solid waste for municipal, residential, and commercial and industrial customers. Its infrastructure & soil remediation business line provides remediation of contaminated soils, as well as complementary services, including civil, demolition, excavation and shoring services. In Its liquid waste management business line, it collects, processes, recycles and/or disposes a range of liquid wastes from commercial and industrial customers."
ceo,Mr. Patrick Dovigi
sector,Industrials
country,CA
fullTimeEmployees,11500
phone,19053260101
address,100 New Park Place #500
city,Vaughan
state,ONTARIO
zip,L4K 0H9
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/GFL.jpg
ipoDate,
defaultImage,True
