,0
symbol,GMHIU
price,10.97
beta,0.0
volAvg,31110
mktCap,527000992
lastDiv,0.0
range,9.69-16.48
changes,-0.03
companyName,Gores Metropoulos Inc
currency,USD
cik,
isin,US3828722088
cusip,382872208
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Shell Companies
website,
description,"Gores Metropoulos, Inc. operates as a blank check company, which formed for the purpose of a merger, capital stock exchange, asset acquisition, stock purchase, reorganization and similar business combination with one or more businesses. The company is headquartered in Beverly Hills, California. The firm is formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The firm intends to focus on acquisition opportunities in the consumer products and services industries. The firm also intends to identify, acquire and manage the businesses in diverse sectors, including industrials, technology, telecommunications, media and entertainment, business services, healthcare and consumer products."
ceo,Mr. Alec Elias Gores
sector,Financial Services
country,US
fullTimeEmployees,3
phone,12036296644
address,9800 Wilshire Blvd
city,Beverly Hills
state,CALIFORNIA
zip,90212
dcfDiff,
dcf,11.2943
image,https://financialmodelingprep.com/image-stock/GMHIU.jpg
ipoDate,2019-02-01
defaultImage,True
