,0
symbol,GNMK
price,13.625
beta,3.14712
volAvg,1131904
mktCap,977198660
lastDiv,0.0
range,3.36-20.88
changes,0.025
companyName,Genmark Diagnostics Inc
currency,USD
cik,0001487371
isin,US3723091043
cusip,372309104
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Medical Devices
website,https://www.genmarkdx.com/
description,"GenMark Diagnostics, Inc. engages in the provision of multiplex molecular diagnostic solutions. The company is headquartered in Carlsbad, California and currently employs 477 full-time employees. The firm is focused on developing and commercializing multiplex molecular tests that aid in the diagnosis of complex medical conditions. The company develops and commercializes multiplex molecular tests based on its eSensor electrochemical detection technology. The company offers four Food and Drug Administration (FDA)-cleared diagnostic tests which run on its XT-8 instrument; its Respiratory Viral Panel; its Cystic Fibrosis Genotyping Test; its Warfarin Sensitivity Test, and its Thrombophilia Risk Test. The company also offers a Hepatitis C (HCV) genotyping test and associated custom manufactured reagents, as well as a 2C19 Genotyping Test, versions of which are available for use with its XT-8 instrument for research use only (RUO). Its XT-8 and ePlex test cartridges utilize the combination of distinct electrodes and multiple signal probes to detect dozens of target biomarkers from a single sample, thereby enabling highly multiplexed testing."
ceo,Mr. Scott Mendel
sector,Healthcare
country,US
fullTimeEmployees,437
phone,17604484300
address,5964 La Place Ct
city,Carlsbad
state,CALIFORNIA
zip,92008-8829
dcfDiff,-31.92
dcf,11.8601
image,https://financialmodelingprep.com/image-stock/GNMK.jpg
ipoDate,2010-06-02
defaultImage,True
