,0
symbol,GOLD
price,26.07
beta,0.22844
volAvg,17574827
mktCap,46537556000
lastDiv,0.37
range,12.65-31.22
changes,0.16
companyName,Barrick Gold Corp
currency,USD
cik,0001206942
isin,CA0679011084
cusip,067901108
exchange,Nasdaq Global Select
exchangeShortName,NYSE
industry,Gold
website,https://www.barrick.com
description,"Barrick Gold Corp. engages in the production and sale of gold and copper, as well as related activities such as exploration and mine development. The company is headquartered in Toronto, Ontario and currently employs 22,100 full-time employees. The firm is principally engaged in the production and sale of gold and copper, as well as related activities, such as exploration and mine development. The firm's segments include Barrick Nevada, Golden Sunlight, Hemlo, Jabal Sayid, Lagunas Norte, Lumwana, Porgera, Pueblo Viejo, Turquoise Ridge, Veladero and Zaldvar. Pueblo Viejo, Lagunas Norte, Veladero and Turquoise Ridge are its individual gold mines. The Company, through its subsidiary Acacia, owns gold mines and exploration properties in Africa. Its Porgera is a gold mine. Zaldivar and Lumwana are copper mines. The Pascua-Lama project is located on the border between Chile and Argentina. The firm owns a number of producing gold mines, which are located in Canada, the United States, Peru, Argentina, Australia and the Dominican Republic."
ceo,Mr. Mark Bristow
sector,Basic Materials
country,CA
fullTimeEmployees,22100
phone,14163077470
address,"Canada Trust Tower, 161 Bay St Suite 3700"
city,TORONTO
state,ONTARIO
zip,M5J 2S1
dcfDiff,
dcf,28.6767
image,https://financialmodelingprep.com/image-stock/GOLD.png
ipoDate,1983-05-02
defaultImage,False
