,0
symbol,GOOG
price,1745.99
beta,1.022765
volAvg,1886140
mktCap,1178606110000
lastDiv,0.0
range,1013.536-1818.06
changes,-3.85
companyName,Alphabet Inc.
currency,USD
cik,0001652044
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Internet Content & Information
website,http://www.abc.xyz
description,
ceo,Mr. Sundar Pichai
sector,Communication Services
country,United States
fullTimeEmployees,123048
phone,650-253-0000
address,1600 Amphitheatre Parkway
city,Mountain View
state,CA
zip,94043
dcfDiff,376.88
dcf,1641.53
image,https://financialmodelingprep.com/image-stock/GOOG.jpg
ipoDate,
defaultImage,True
