,0
symbol,GRBK
price,21.77
beta,1.40538
volAvg,413720
mktCap,1102909570
lastDiv,0.0
range,5.66-22.58
changes,0.51
companyName,Green Brick Partners Inc
currency,USD
cik,0001373670
isin,US3927091013
cusip,392709101
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Residential Construction
website,https://www.greenbrickpartners.com/
description,"Green Brick Partners, Inc. engages in residential land development and homebuilding. The company is headquartered in Plano, Texas and currently employs 390 full-time employees. The firm operates through two segments. The builder operations segment includes its controlled builders results, which include building and selling single-family detached homes and townhomes that are designed and built to meet local customer preferences, and the sale of lots. Builder operations consist of three operating segments: Texas, Georgia, and corporate and other. Corporate operations segment develops and implements strategic initiatives and supports its builder operations and land development by centralizing certain administrative functions, such as finance, treasury, information technology and human resources. The land development segment includes operations related to the acquisition and development of land, which is sold to its controlled builders and third-party homebuilders. As of December 31, 2016, it had owned or controlled over 5,200 home sites in various locations in the Dallas and Atlanta markets."
ceo,Mr. James Brickman
sector,Consumer Cyclical
country,US
fullTimeEmployees,460
phone,14695736755
address,2805 Dallas Pkwy Ste 400
city,Plano
state,TEXAS
zip,75093
dcfDiff,17.0
dcf,18.427
image,https://financialmodelingprep.com/image-stock/GRBK.jpg
ipoDate,2007-06-19
defaultImage,True
