,0
symbol,GXGX
price,10.485
beta,0.0
volAvg,253904
mktCap,376804672
lastDiv,0.0
range,9.3-10.85
changes,0.155
companyName,GX Acquisition Corp
currency,USD
cik,0001752828
isin,US36251A1079
cusip,36251A107
exchange,NasdaqCM
exchangeShortName,NASDAQ
industry,Shell Companies
website,
description,"GX Acquisition Corp. is a blank check company. The Company is formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The Company is not engaged in any business operations and it has not generated any revenue."
ceo,Mr. Jay R. Bloom
sector,Financial Services
country,US
fullTimeEmployees,
phone,12126163700
address,1325 Avenue of the Americas Fl 25
city,New York City
state,NEW YORK
zip,10019
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/GXGX.jpg
ipoDate,2019-05-21
defaultImage,True
