,0
symbol,HALO
price,38.99
beta,1.60631
volAvg,1750069
mktCap,5270785500
lastDiv,0.0
range,12.71-39.87
changes,0.26
companyName,Halozyme Therapeutics Inc
currency,USD
cik,0001159036
isin,US40637H1095
cusip,40637H109
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Biotechnology
website,https://www.halozyme.com/
description,"Halozyme Therapeutics, Inc. is a biopharmaceutical company, which engages in research, development & commercialization of human enzymes and drug candidates. The company is headquartered in San Diego, California and currently employs 281 full-time employees. The firm operates in research, development and commercialization of human enzymes and other drug candidates. The firm's segment also includes research and development activities and product sales of Hylenex recombinant. The firm's development pipeline consists of clinical-stage product candidates in oncology. Its lead oncology program is PEGPH20 (polyethylene glycol (PEG)ylated recombinant human hyaluronidase), a molecular entity being developed for the systemic treatment of tumors, which accumulate HA. The company is in Phase II and Phase III clinical testing for PEGPH20 in stage IV pancreatic ductal adenocarcinoma (Studies 109-202 and 109-301); Phase Ib clinical testing in non-small cell lung cancer (Study 107-201), and in Phase Ib clinical testing in non-small cell lung cancer and gastric cancer (Study 107-101)."
ceo,Dr. Helen Torley
sector,Healthcare
country,US
fullTimeEmployees,132
phone,18587948889
address,11388 Sorrento Valley Rd
city,San Diego
state,CALIFORNIA
zip,92121
dcfDiff,-23.03
dcf,30.8927
image,https://financialmodelingprep.com/image-stock/HALO.png
ipoDate,2003-01-30
defaultImage,False
