,0
symbol,HBANN
price,26.49
beta,0.067922
volAvg,2589
mktCap,28874629100
lastDiv,1.468
range,14.1-29.17
changes,0.0
companyName,Huntington Bancshares Incorporated Depositary Shares each representing a 1/40th interest in a share of 5.875% Series C Non-Cumulative Perpetual Preferred Stock
currency,USD
cik,
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks
website,http://www.huntington.com
description,
ceo,None
sector,Financial Services
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,-26.44
dcf,0.0
image,https://financialmodelingprep.com/image-stock/HBANN.jpg
ipoDate,
defaultImage,True
