,0
symbol,HD
price,277.21
beta,1.10402
volAvg,3500576
mktCap,312063623000
lastDiv,5.86
range,140.63-292.95
changes,0.97
companyName,Home Depot Inc
currency,USD
cik,0000354950
isin,US4370761029
cusip,437076102
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Home Improvement Retail
website,https://www.homedepot.com/
description,"The Home Depot, Inc. engages in the sale of building materials and home improvement products. The company is headquartered in Atlanta, Georgia and currently employs 413,000 full-time employees. The firm sells an assortment of building materials, home improvement products, and lawn and garden products, and provides various services. The Home Depot stores serves three primary customer groups: do-it-yourself (DIY) customers, do-it-for-me (DIFM) customers and professional customers. Its DIY customers are home owners purchasing products and completing their own projects and installations. The firm assists these customers with specific product and installation questions both in its stores and through online resources and other media designed to provide product and project knowledge. Its DIFM customers are home owners purchasing materials themselves and hiring third parties to complete the project or installation. Professional Customers are primarily professional renovators/remodelers, general contractors, repairmen, installers, small business owners and tradesmen."
ceo,Mr. Craig Menear
sector,Consumer Cyclical
country,US
fullTimeEmployees,415700
phone,17704338211
address,2455 Paces Ferry Rd SE
city,Atlanta
state,GEORGIA
zip,30339
dcfDiff,-40.16
dcf,286.454
image,https://financialmodelingprep.com/image-stock/HD.png
ipoDate,1984-04-19
defaultImage,False
