,0
symbol,HELE
price,194.63
beta,0.95741
volAvg,213369
mktCap,4934513200
lastDiv,0.0
range,104.02-217.76
changes,3.08
companyName,Helen of Troy Ltd
currency,USD
cik,0000916789
isin,BMG4388N1065
cusip,G4388N106
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Household & Personal Products
website,https://www.helenoftroy.com/
description,"Helen of Troy Ltd. engages in the manufacture and distribution of personal care and household products. The firm is a global designer, developer, importer, marketer and distributor of a portfolio of brand-name consumer products. The firm has three segments. The Housewares segment provides a range of consumer products for the home. The Health & Home segment focuses on healthcare devices, such as thermometers, humidifiers, blood pressure monitors and heating pads; water filtration systems, and small home appliances, such as portable heaters, fans, air purifiers, and insect control devices. The Beauty segment's products include electric hair care, beauty care and wellness appliances; grooming tools and accessories, and liquid-, solid- and powder-based personal care and grooming products."
ceo,Mr. Julien Mininberg
sector,Consumer Defensive
country,BM
fullTimeEmployees,1650
phone,19152258000
address,"Clarendon House, 2 Church Street"
city,Hamilton
state,
zip,79912
dcfDiff,90.07
dcf,200.026
image,https://financialmodelingprep.com/image-stock/HELE.jpg
ipoDate,1971-06-03
defaultImage,True
