,0
symbol,HES
price,43.04
beta,2.18007
volAvg,2288693
mktCap,13216593900
lastDiv,1.0
range,26.06-71.66
changes,1.45
companyName,Hess Corp
currency,USD
cik,0000004447
isin,US42809H1077
cusip,42809H107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas E&P
website,https://www.hess.com/
description,"Hess Corp is an exploration and production company, which engages in exploration, development, production, transportation, purchase & sale of crude oil, natural gas liquids and natural gas with production operations. The company is headquartered in New York City, New York and currently employs 1,708 full-time employees. The firm is engaged in exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids (NGL) and natural gas. The firm's segments include Exploration and Production, and Midstream. Its Exploration and Production segment explores for, develops, produces, purchases and sells crude oil, NGLs and natural gas with production operations primarily in the United States, Denmark, the Malaysia/Thailand Joint Development Area (JDA), Malaysia and Norway. The Midstream segment provides fee-based services, including crude oil and natural gas gathering, processing of natural gas and the fractionation of NGLs, transportation of crude oil by rail car, terminaling and loading crude oil and NGLs, and the storage and terminaling of propane, primarily in the Bakken shale play of North Dakota."
ceo,Mr. John Hess
sector,Energy
country,US
fullTimeEmployees,1775
phone,12129978500
address,1185 AVENUE OF THE AMERICAS
city,New York City
state,NEW YORK
zip,10036
dcfDiff,-75.24
dcf,42.3195
image,https://financialmodelingprep.com/image-stock/HES.jpg
ipoDate,1926-03-15
defaultImage,True
