,0
symbol,HMHC
price,2.61
beta,1.63944
volAvg,2629047
mktCap,328468480
lastDiv,0.0
range,1.03-6.85
changes,0.12
companyName,Houghton Mifflin Harcourt Co
currency,USD
cik,0001580156
isin,US44157R1095
cusip,44157R109
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Education & Training Services
website,http://ir.hmhco.com./
description,"Houghton Mifflin Harcourt Co. engages in the provision of pre-K-12 education solutions, delivering content, technology, services, and media. The company is headquartered in Boston, Massachusetts and currently employs 3,600 full-time employees. The firm operates through two segments: Education and Trade Publishing. As of December 31, 2016, the Company delivered content, services and technology to both educational institutions and consumers, reaching over 50 million students in approximately 150 countries across the world. The company sells its products and services across multiple media and distribution channels. Its Education segment provides educational content, services and technology solutions to meet the diverse needs of classrooms. Its Trade Publishing segment develops, markets and sells consumer books in print and digital formats, and licenses book rights to other publishers and electronic businesses in the United States and abroad."
ceo,Mr. John Lynch
sector,Consumer Defensive
country,US
fullTimeEmployees,3400
phone,16173515000
address,125 High St
city,Boston
state,MASSACHUSETTS
zip,02110
dcfDiff,
dcf,5.277
image,https://financialmodelingprep.com/image-stock/HMHC.jpg
ipoDate,2013-11-14
defaultImage,True
