,0
symbol,HRTG
price,10.13
beta,0.63404
volAvg,100024
mktCap,284236672
lastDiv,0.24
range,7.5-14.39
changes,0.24
companyName,Heritage Insurance Holdings Inc
currency,USD
cik,0001598665
isin,US42727J1025
cusip,42727J102
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Insurance Property & Casualty
website,https://www.heritagepci.com/
description,"Heritage Insurance Holdings, Inc. engages in the provision of personal and residential premium, property, and casualty insurance policies. The company is headquartered in Clearwater, Florida and currently employs 438 full-time employees. The firm provides personal and commercial residential insurance. Through its subsidiary, Heritage Property & Casualty Insurance Company (Heritage P&C), it provides personal residential insurance for single-family homeowners and condominium owners, rental property insurance and commercial residential insurance in the state of Florida and North Carolina. The firm is vertically integrated and controls or manages all aspects of insurance underwriting, customer service, actuarial analysis, distribution and claims processing and adjusting. The firm's primary products are personal and commercial residential insurance, which it offers only in Florida. As of December 31, 2016, it marketed and wrote personal lines voluntary policies through a network of approximately 1,900 independent agents. The company had 150,998 voluntary personal residential policies as of December 31, 2016."
ceo,Mr. Bruce Lucas
sector,Financial Services
country,US
fullTimeEmployees,530
phone,17273627202
address,2600 Mccormick Dr Ste 300
city,Clearwater
state,FLORIDA
zip,33759
dcfDiff,-13.48
dcf,20.1697
image,https://financialmodelingprep.com/image-stock/HRTG.png
ipoDate,2014-05-23
defaultImage,False
