,0
symbol,HSTO
price,1.4691
beta,1.84069
volAvg,120120
mktCap,18375502
lastDiv,0.0
range,1.3-7.5
changes,-0.0009
companyName,Histogen Inc
currency,USD
cik,
isin,US43358Y1038
cusip,43358Y103
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Biotechnology
website,https://www.conatuspharma.com/
description,"Histogen Inc., formerly Conatus Pharmaceuticals Inc., is a regenerative medicine company. The Company is focused on developing technologies that replace and regenerates tissues in the body. The company’s technology platform utilizes cell conditioned media and extracellular matrix materials produced by hypoxia-induced multipotent cells, developing therapeutic products that address unmet medical needs. The Company has product candidates in clinical development intended to address and offer treatment for hair loss, dermal filler and treatment for joint cartilage repair. The Company manufactures a soluble multipotent cell conditioned media (CCM), which is the starting material for products for hair growth, skin care and other applications. In addition to this, the Company also manufactures an insoluble extracellular matrix (ECM) for applications such as orthopedics, wound care and soft tissue augmentation."
ceo,Mr. Richard W. Pascoe
sector,Healthcare
country,US
fullTimeEmployees,5
phone,18583762600
address,"16745 West Bernardo Drive, Suite 250"
city,San Diego
state,CALIFORNIA
zip,92121
dcfDiff,
dcf,2.60417
image,https://financialmodelingprep.com/image-stock/HSTO.png
ipoDate,2013-07-25
defaultImage,False
