,0
symbol,HURC
price,29.5
beta,0.75432
volAvg,14404
mktCap,193672224
lastDiv,0.51
range,20.39-39.38
changes,0.2
companyName,Hurco Companies Inc
currency,USD
cik,0000315374
isin,US4473241044
cusip,447324104
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Specialty Industrial Machinery
website,https://www.hurco.com/
description,"Hurco Cos., Inc. is an international industrial technology company, which engages in the designing, manufacturing and selling of computerized machine tools. The company is headquartered in Indianapolis, Indiana and currently employs 785 full-time employees. The firm designs, manufactures and sells computerized (Computer Numeric Control (CNC)) machine tools, consisting primarily of vertical machining centers (mills) and turning centers (lathes), to companies in the metal cutting industry. The company operates in the industrial automation equipment segment. The company provides software options, control upgrades, accessories and replacement parts for its products, as well as customer service and training support, and applications support. Its computerized machine tools are equipped with an integrated interactive computer control system that features its WinMax software. Its control systems are available in versions, including the Series 8200-B for tool room products and the Series 9000 offered on its vertical machining centers and bridge mills. Its Takumi machine tools models include drill and tap machines and three-axis vertical machining centers with linear guides."
ceo,Mr. Michael Doar
sector,Industrials
country,US
fullTimeEmployees,785
phone,13172935309
address,1 Technology Way
city,Indianapolis
state,INDIANA
zip,46268
dcfDiff,
dcf,39.8055
image,https://financialmodelingprep.com/image-stock/HURC.png
ipoDate,1980-08-27
defaultImage,False
