,0
symbol,HYT
price,11.175
beta,0.72284
volAvg,339715
mktCap,1362277250
lastDiv,0.9358999999999998
range,6.26-11.73
changes,0.0129
companyName,Blackrock Corporate High Yield Fund Inc
currency,USD
cik,
isin,US09255P1075
cusip,09255P107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.blackrock.com/investing/products/240182/blackrock-corporate-high-yield-fund-vi-inc-usd
description,"BlackRock Corporate High Yield Fund, Inc. is a diversified, closed-end management investment company. The Trust's primary investment objective is to provide shareholders with current income. The Trust's secondary investment objective is to provide shareholders with capital appreciation. The Trust seeks to achieve its objectives by investing primarily in a diversified portfolio of fixed income securities, which are rated below investment grade or, if unrated, are considered by the investment advisor to be of comparable quality. The Trust may invest directly in fixed income securities or synthetically through the use of derivatives. The Trust's investment portfolio includes high yield bonds-industrials, term loans, high yield bonds-financials, equity/equity futures, collateralized loan obligation, investment grade bonds, preferred equity, high yield bonds-utilities, convertibles, common stocks and asset-backed securities. BlackRock Advisors, LLC is the investment advisor of the Trust."
ceo,Mr. John Perlowski
sector,Financial Services
country,US
fullTimeEmployees,
phone,18004417762
address,100 Bellevue Pkwy
city,Wilmington
state,DELAWARE
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/HYT.png
ipoDate,2003-05-28
defaultImage,False
