,0
symbol,IDE
price,9.955
beta,1.04729
volAvg,73586
mktCap,189878688
lastDiv,0.916
range,6.43-11.87
changes,0.165
companyName,Voya Infrastructure Industrials and Materials Fund
currency,USD
cik,
isin,US92912X1019
cusip,92912X101
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,http://investments.voya.com/index.htm
description,"Voya Infrastructure, Industrials and Materials Fund is a diversified closed-end fund that seeks total return through a combination of current income, capital gains and capital appreciation. The Fund seeks to achieve its investment objective by investing in companies that own and/or operate infrastructure facilities in the infrastructure sector, and in a range of companies, principally in the industrials and materials sectors, that the Voya Investment Management Co. LLC (the Sub-Advisor) believes will benefit from the building, renovation, expansion and utilization of infrastructure. It will also seek to secure gains and develop the stability of returns over a market cycle by writing call options on selected indices and/or exchange-traded funds. It invests in various sectors, such as electric utilities, aerospace and defense, industrial conglomerates, specialty chemicals and industrial machinery. Voya Investments, LLC is the Fund's advisor."
ceo,Mr. Michael Bell
sector,Financial Services
country,US
fullTimeEmployees,
phone,18009920180
address,7337 E Doubletree Ranch Rd Ste 100
city,Scottsdale
state,ARIZONA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/IDE.png
ipoDate,2010-01-27
defaultImage,False
