,0
symbol,IIIV
price,24.9875
beta,0.0
volAvg,194375
mktCap,768395580
lastDiv,0.0
range,13.01-37.85
changes,1.3275
companyName,i3 Verticals Inc
currency,USD
cik,0001728688
isin,US46571Y1073
cusip,46571Y107
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Software Infrastructure
website,
description,"i3 Verticals, Inc. is a holding company, which engages in the provision of integrated payment and software solutions to small-and medium-sized businesses and organizations in strategic vertical markets. The company is headquartered in Nashville, Tennessee and currently employs 542 full-time employees. The company has built a broad suite of payment and software solutions that address the specific needs of SMBs and other organizations in its strategic vertical markets. Its primary strategic vertical markets include education, non-profit, public sector, property management and healthcare. Its integrated payment and software solutions feature payment capabilities tailored to the needs of its clients in strategic vertical markets. Its configurable payment technology solutions integrate seamlessly into clients’ third-party business management systems, provide security that complies with Payment Card Industry Data Security Standards and include reporting tools."
ceo,Mr. Gregory Daily
sector,Technology
country,US
fullTimeEmployees,542
phone,18002037981
address,40 Burton Hills Blvd Ste 415
city,Nashville
state,TENNESSEE
zip,37215
dcfDiff,
dcf,24.8267
image,https://financialmodelingprep.com/image-stock/IIIV.jpg
ipoDate,2018-06-21
defaultImage,True
