,0
symbol,INVH
price,29.01
beta,0.82835
volAvg,3562778
mktCap,16261092400
lastDiv,0.6
range,15.64-32.7
changes,0.28
companyName,Invitation Homes Inc
currency,USD
cik,0001687229
isin,US46187W1071
cusip,46187W107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Residential
website,https://www.invitationhomes.com/
description,"Invitation Homes, Inc. engages in the acquisition, renovation, leasing and operating single-family homes as rental properties, including single-family homes in planned unit developments. The company is headquartered in Dallas, Texas and currently employs 1,231 full-time employees. The firm owns and operates single-family homes for lease in the United States. The firm's segment relates to acquiring, renovating, leasing and operating single-family homes as rental properties, including single-family homes in planned unit developments. As of September 30, 2016, the Company's averaged approximately 1,850 square feet with three bedrooms and two bathrooms. As of September 30, 2016, the Company's portfolio included 48,431 homes. As of September 30, 2016, the Company's homes were located in Southern California, Northern California, Seattle, Phoenix and Las Vegas in Western United States; South Florida, Tampa, Orlando and Jacksonville in Florida; Atlanta and Charlotte in Southeast United States, and Chicago and Minneapolis in Midwest United States. As of September 30, 2016, the Company had 73 homes in escrow that we expected to acquire, subject to customary closing conditions."
ceo,Mr. Dallas Tanner
sector,Real Estate
country,US
fullTimeEmployees,1140
phone,19724213600
address,1717 Main St Ste 2000
city,Dallas
state,TEXAS
zip,75201
dcfDiff,
dcf,28.2733
image,https://financialmodelingprep.com/image-stock/INVH.png
ipoDate,2017-02-01
defaultImage,False
