,0
symbol,IOR
price,11.4474
beta,0.33528
volAvg,1806
mktCap,47715168
lastDiv,0.0
range,8.32-17.0
changes,-0.3826
companyName,Income Opportunity Realty Investors Inc
currency,USD
cik,0000949961
isin,US4529261087
cusip,452926108
exchange,NYSE American
exchangeShortName,AMEX
industry,Mortgage Finance
website,http://www.incomeopp-realty.com/
description,"Income Opportunity Realty Investors, Inc. engages in investing in real estate and financing real estate and real estate-related activities through investments in mortgage loans. The company is headquartered in Dallas, Texas and currently employs 0 full-time employees. The firm's segments include land and other. Its operations include the land portfolio, which is land held subject to a sales contract. All of its real estate is located in the southwest region of the continental United States. Pillar Income Asset Management, Inc. (Pillar) is the Company's external Advisor. Pillar locates, evaluates and recommends real estate and real estate-related investment opportunities and arranges debt and equity financing for the Company with third-party lenders and investors. The firm's land consists of approximately 131.1 acres of developable land held subject to a sales contract. All of its land holdings are located in Farmers Branch, Texas."
ceo,Mr. Daniel Moos
sector,Financial Services
country,US
fullTimeEmployees,0
phone,14685224200
address,1603 Lyndon B Johnson Fwy Ste 800
city,Dallas
state,TEXAS
zip,75234
dcfDiff,-11.4
dcf,12.2512
image,https://financialmodelingprep.com/image-stock/IOR.jpg
ipoDate,1986-11-05
defaultImage,True
