,0
symbol,IRR
price,2.44
beta,1.50525
volAvg,119936
mktCap,54528876
lastDiv,0.308
range,1.35-4.25
changes,0.02
companyName,Voya Natural Resources Equity Income Fund
currency,USD
cik,
isin,US92913C1062
cusip,92913C106
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://investments.voya.com/
description,"Voya Natural Resources Equity Income Fund (the Fund) is a non-diversified, closed-end management investment company. The Fund's investment objective is total return through a combination of current income, capital gains and capital appreciation. Under normal market conditions, the Fund seeks to achieve its investment objective by investing approximately 80% of its managed assets in the equity securities of, or derivatives linked to the equity securities of, companies that are primarily engaged in owning or developing energy, other natural resources and basic materials, or supplying goods and services to such companies (Natural Resources Companies). Equity securities held by the Fund include common stocks, preferred shares, convertible securities, warrants and depository receipts. The Fund may also invest in exchange-traded funds (ETFs) comprised primarily of Natural Resources Companies. Voya Investments, LLC is the Fund's investment advisor."
ceo,Mr. Michael Bell
sector,Financial Services
country,US
fullTimeEmployees,0
phone,14804773000
address,7337 E Doubletree Ranch Rd Ste 100
city,Scottsdale
state,ARIZONA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/IRR.png
ipoDate,2006-10-25
defaultImage,False
