,0
symbol,ISR
price,0.3697
beta,2.00719
volAvg,568410
mktCap,32247488
lastDiv,0.0
range,0.36-1.06
changes,-0.0103
companyName,IsoRay Inc
currency,USD
cik,0000728387
isin,US46489V1044
cusip,46489V104
exchange,NYSE American
exchangeShortName,AMEX
industry,Medical Instruments & Supplies
website,https://isoray.com/
description,"IsoRay, Inc. is a medical technology company, which engages in the development, manufacture, and sale of isotope-based medical products and devices. The company is headquartered in Richland, Washington and currently employs 43 full-time employees. The Company, through its subsidiary, IsoRay Medical, Inc., develops, manufactures and sells isotope-based medical products and devices for the treatment of cancer and other malignant diseases. The firm is engaged in the production and sales of Cesium-131 (Cs-131) brachytherapy seeds. Brachytherapy seeds are small devices containing a therapeutic dose of radiation used in an interstitial radiation procedure. The brachytherapy procedure places radioactive seeds as close as possible to (in or near) the cancerous tumor. The Cs-131 includes radioisotope in the treatment of all malignant tumors, such as prostate cancer, brain cancer, breast cancer, colorectal cancer, gynecological cancer, lung cancer, liver cancer, ocular melanoma and pancreatic cancer. The firm's Proxcelan Cesium-131 seed is classified as a Class II device."
ceo,Ms. Lori Woods
sector,Healthcare
country,US
fullTimeEmployees,43
phone,15093751202
address,350 Hills St Ste 106
city,Richland
state,WASHINGTON
zip,99354
dcfDiff,-1.2
dcf,-0.82
image,https://financialmodelingprep.com/image-stock/ISR.png
ipoDate,2002-05-31
defaultImage,False
