,0
symbol,ITRN
price,14.9
beta,1.2599
volAvg,48076
mktCap,349783456
lastDiv,0.48
range,11.01-26.37
changes,-0.15
companyName,Ituran Location and Control Ltd
currency,USD
cik,0001337117
isin,IL0010818685
cusip,M6158M104
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Communication Equipment
website,http://www.ituran.co.il
description,"Ituran Location & Control Ltd. engages in the provision of stolen vehicle recovery, fleet management, and tracking services. The firm also provides wireless communication products used in connection with its location-based services and various other applications. Its operations consist of two segments: location-based services and wireless communications products. Its location-based services segment consists of its SVR and tracking services, fleet management and value-added services consisted of personal locater services and concierge services. Its wireless communications products segment consists of short and medium range two-way machine-to-machine wireless communications products that are used for various applications, including automatic vehicle location (AVL) and automatic vehicle identification. The company primarily provides its services, as well as sells and leases its products in Israel, Brazil, Argentina and the United States."
ceo,Mr. Eyal Sheratzky
sector,Technology
country,IL
fullTimeEmployees,2908
phone,97236533515
address,"3 REHOV HASHIKMA, A.T AZUR, T.D 163"
city,AZOR
state,
zip,58001
dcfDiff,31.65
dcf,16.4886
image,https://financialmodelingprep.com/image-stock/ITRN.jpg
ipoDate,1998-05-01
defaultImage,True
