,0
symbol,JBK
price,29.93
beta,0.129833
volAvg,232
mktCap,0
lastDiv,0.793
range,20.5-31.5
changes,0.0
companyName,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Conglomerates
website,http://www.lehmanbrothers.com
description,
ceo,None
sector,Industrials
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/JBK.jpg
ipoDate,
defaultImage,True
