,0
symbol,JBLU
price,14.16
beta,1.54875
volAvg,8793787
mktCap,3858373380
lastDiv,0.0
range,6.61-21.65
changes,0.77
companyName,JetBlue Airways Corp
currency,USD
cik,0001158463
isin,US4771431016
cusip,477143101
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Airlines
website,https://www.jetblue.com/
description,"JetBlue Airways Corp. provides air transportation services. The company is headquartered in Long Island City, New York and currently employs 18,528 full-time employees. The firm provides air transportation services across the United States, the Caribbean and Latin America. Its segments include Domestic, and Caribbean & Latin America. The company operates various kinds of aircrafts, including Airbus A321, Airbus A320 and Embraer E190. The company also provides premium transcontinental product called Mint. As of December 31, 2016, Mint included 16 fully lie-flat seats, four of which were in suites with a privacy door. The firm also provides Fly-Fi in-flight Internet service across its Airbus fleet. The company provides its customers a choice to purchase tickets from three branded fares, which include Blue, Blue Plus and Blue Flex. Each of these fare include different offerings, such as free checked bags, reduced change fees and additional TrueBlue points. As of December 31, 2016, its Airbus A321 aircraft in a single cabin layout had 200 seats and those with Mint premium service had a seating capacity of 159 seats."
ceo,Mr. Robin Hayes
sector,Industrials
country,US
fullTimeEmployees,16495
phone,17182867900
address,2701 Queens Plz N
city,Long Island City
state,NEW YORK
zip,11101
dcfDiff,
dcf,15.1438
image,https://financialmodelingprep.com/image-stock/JBLU.png
ipoDate,2002-04-12
defaultImage,False
