,0
symbol,JFU
price,1.18
beta,0.0
volAvg,3103564
mktCap,230325376
lastDiv,0.0
range,0.72-11.365
changes,-0.06
companyName,9F Inc
currency,CNY
cik,0001619544
isin,US65442R1095
cusip,65442R109
exchange,NasdaqGM
exchangeShortName,NASDAQ
industry,Software Application
website,
description,"9F, Inc. operates as a digital financial account platform integrating and personalizing financial services. The company is headquartered in Beijing, Beijing and currently employs 1,516 full-time employees. The firm's products and services mainly include loan products, online wealth management products, and payment facilitation. The firm provides services, including quota installment, shopping mall installment, credit card management and other services through a smart credit account product One Card (GRAPHIC). The firm also operate a online shopping platform, One Card Mall."
ceo,Mr. Lei Sun
sector,Technology
country,CN
fullTimeEmployees,
phone,861085276996
address,
city,Beijing
state,BEIJING
zip,100102
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/JFU.jpg
ipoDate,2019-08-15
defaultImage,True
