,0
symbol,JOUT
price,85.07
beta,0.98948
volAvg,33136
mktCap,857913920
lastDiv,0.7200000000000001
range,48.76-97.0
changes,0.31
companyName,Johnson Outdoors Inc
currency,USD
cik,0000788329
isin,US4791671088
cusip,479167108
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Leisure
website,https://www.johnsonoutdoors.com/
description,"Johnson Outdoors, Inc. engages in the manufacturing and marketing of seasonal, outdoor recreation products. The company is headquartered in Racine, Wisconsin and currently employs 1,200 full-time employees. The firm operates through four segments: Marine Electronics, Outdoor Equipment, Watercraft and Diving. Its Marine Electronics segment's brands are Minn Kota, Humminbird and Cannon. Its Outdoor Equipment segment's brands are Eureka!, Jetboil and Silva. Its Watercraft segment designs and markets Necky sea touring kayaks; sit on top Ocean Kayaks, and Old Town canoes and kayaks for family recreation, touring, angling and tripping. The firm manufactures and markets underwater diving products for recreational divers, which it sells and distributes under the SCUBAPRO brand name. The company markets a line of underwater diving and snorkeling equipment, including regulators, buoyancy compensators, dive computers and gauges, wetsuits, masks, fins, snorkels and accessories. The firm's products are used for fishing from a boat, diving, paddling, hiking and camping."
ceo,Ms. Helen Johnson-Leipold
sector,Consumer Cyclical
country,US
fullTimeEmployees,1200
phone,12626316600
address,555 Main St
city,Racine
state,WISCONSIN
zip,53403
dcfDiff,0.91
dcf,103.572
image,https://financialmodelingprep.com/image-stock/JOUT.jpg
ipoDate,1987-10-09
defaultImage,True
