,0
symbol,KMT
price,32.605
beta,2.32499
volAvg,676073
mktCap,2715213820
lastDiv,0.8
range,14.45-38.73
changes,1.075
companyName,Kennametal Inc
currency,USD
cik,0000055242
isin,US4891701009
cusip,489170100
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Tools & Accessories
website,https://www.kennametal.com/us/en/home.html
description,"Kennametal, Inc. engages in the development and application of tungsten carbides, ceramics, super-hard materials, and solutions used in metal cutting and extreme wear applications. The company is headquartered in Pittsburgh, Pennsylvania and currently employs 10,400 full-time employees. The firm operates through two segments: Industrial and Infrastructure. The Industrial segment generally serves customers that operate in industrial end markets, such as transportation, general engineering, aerospace and defense. The Infrastructure segment generally serves customers that operate in the earthworks and energy sectors supporting primary industries, such as oil and gas, power generation, underground, surface and hard-rock mining, highway construction and road maintenance. The company provides wear-resistant products, application engineering and services backed by material science serving customers across various sectors. The firm's product offerings include a selection of standard and customized technologies for metalworking, such as metal cutting tools, tooling systems and services, as well as materials, such as cemented tungsten carbide products and super alloys."
ceo,Mr. Christopher Rossi
sector,Industrials
country,US
fullTimeEmployees,10400
phone,14122488000
address,"525 WILLIAM PENN PLACE, SUITE 3300"
city,Pittsburgh
state,PENNSYLVANIA
zip,15219
dcfDiff,-31.86
dcf,39.9653
image,https://financialmodelingprep.com/image-stock/KMT.jpg
ipoDate,1981-05-22
defaultImage,True
