,0
symbol,LANDP
price,26.0
beta,0.815345
volAvg,3595
mktCap,237005344
lastDiv,1.596
range,15.752-27.95
changes,-0.2738
companyName,Gladstone Land Corporation 6.375% Series A Cumulative Term Preferred Stock
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,REIT Industrial
website,http://www.gladstonefarms.com
description,
ceo,Mr. David John Gladstone
sector,Real Estate
country,United States
fullTimeEmployees,
phone,703-287-5800
address,1521 Westbranch Drive
city,McLean
state,VA
zip,22102
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/LANDP.jpg
ipoDate,
defaultImage,True
