,0
symbol,LATNU
price,10.21
beta,0.0
volAvg,2469
mktCap,0
lastDiv,0.0
range,8.86-10.7
changes,0.0
companyName,Union Acquisition Corp. II
currency,USD
cik,
isin,
cusip,
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Shell Companies
website,http://unionacquisitiongroup.com/uac-ii
description,
ceo,Mr. Kyle P. Bransfield
sector,Financial Services
country,United States
fullTimeEmployees,
phone,212 981 0630
address,509 Madison Avenue
city,New York
state,NY
zip,10022
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/LATNU.jpg
ipoDate,
defaultImage,True
