,0
symbol,LAUR
price,14.12
beta,0.7988
volAvg,880189
mktCap,2966372100
lastDiv,0.0
range,7.3-21.66
changes,0.11
companyName,Laureate Education Inc
currency,USD
cik,0000912766
isin,US5186132032
cusip,518613203
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Education & Training Services
website,https://www.laureate.net/
description,"Laureate Education, Inc. operates a portfolio of degree-granting higher education institutions primarily focused in Latin America. The institutions in its Laureate International Universities network offers a range of undergraduate and graduate degrees through campus-based, online and hybrid programs. Its segments include Brazil, Mexico, Andean, Rest of World and Online & Partnerships. It owns approximately 12 institutions in seven states throughout Brazil. It owns approximately two institutions in Mexico. The Andean segment includes institutions in Chile and Peru. The Rest of World segment includes campus-based institutions in Asia Pacific with operations in Australia, Malaysia and New Zealand. The Online & Partnerships segment includes online institutions that offer profession-oriented degree programs in the United States through Walden University and through the University of Liverpool and the University of Roehampton in the United Kingdom."
ceo,Mr. Eilif Serck-Hanssen
sector,Consumer Defensive
country,US
fullTimeEmployees,50000
phone,14108436100
address,650 S Exeter St
city,Baltimore
state,MARYLAND
zip,21202-4382
dcfDiff,-874.48
dcf,15.3604
image,https://financialmodelingprep.com/image-stock/LAUR.png
ipoDate,2017-02-01
defaultImage,False
