,0
symbol,LBRDA
price,151.65
beta,1.11029
volAvg,134758
mktCap,27162484700
lastDiv,0.0
range,80.14-155.26
changes,2.25
companyName,Liberty Broadband Corp
currency,USD
cik,0001611983
isin,US5303071071
cusip,530307107
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Entertainment
website,http://www.libertybroadband.com/
description,"Liberty Broadband Corp. operates as a holding company, which engages in the cable, broadband and mobile location technology businesses. The company is headquartered in Englewood, Colorado and currently employs 0 full-time employees. The firm's segments include Skyhook, Charter, and Corporate and other. Skyhook provides a wireless fidelity (Wi-Fi)-based location platform focused on providing positioning technology and contextual location intelligence solutions. Charter is an equity method investment that provides cable services in the United States, offering a range of entertainment, information and communications solutions to residential and commercial customers. Charter offers its customers subscription-based video services, including video on demand (VOD), high definition television, and digital video recorder service, Internet services and voice services. Skyhook's Wi-Fi location solution can be used to help carriers and emergency personnel offer E-9-1-1 services domestically. Charter offers broadband communications solutions for businesses and carrier organizations."
ceo,Mr. Gregory Maffei
sector,Communication Services
country,US
fullTimeEmployees,0
phone,17208755400
address,12300 Liberty Blvd
city,Englewood
state,COLORADO
zip,80112
dcfDiff,
dcf,141.015
image,https://financialmodelingprep.com/image-stock/LBRDA.png
ipoDate,2014-11-04
defaultImage,False
