,0
symbol,LILAK
price,11.555
beta,1.908893
volAvg,1480793
mktCap,2680829440
lastDiv,0.0
range,7.465-18.78531
changes,0.225
companyName,Liberty Latin America Ltd.
currency,USD
cik,
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Telecom Services
website,http://www.lla.com
description,
ceo,Mr. Balan Nair
sector,Communication Services
country,United States
fullTimeEmployees,10000
phone,303 925 6000
address,1550 Wewatta Street
city,Denver
state,CO
zip,80202
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/LILAK.jpg
ipoDate,
defaultImage,True
