,0
symbol,LMNR
price,14.543
beta,1.07762
volAvg,45372
mktCap,259092272
lastDiv,0.3
range,10.6-21.85
changes,0.183
companyName,Limoneira Co
currency,USD
cik,0001342423
isin,US5327461043
cusip,532746104
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Farm Products
website,http://www.limoneira.com/
description,"Limoneira Co. is an agribusiness and real estate development company, which engages in the innovation of agricultural citrus industry in California. The company is headquartered in Santa Paula, California and currently employs 319 full-time employees. The firm's operations consist of fruit production, sales and marketing, rental operations, real estate development and capital investment activities. The firm's segments include lemon operations, other agribusiness, rental operations and real estate development. The firm has three business divisions: agribusiness, rental operations and real estate development. The firm operates its packinghouses in Santa Paula, California and Yuma, Arizona. The firm's water resources include water rights, usage rights and pumping rights to the water in aquifers. The firm's agribusiness includes farming, harvesting, lemon packing and lemon sales operations. The rental operations division includes residential and commercial rentals, leased land operations and organic recycling. The real estate development division includes developable land parcels, multi-family housing and single-family homes."
ceo,Mr. Harold Edwards
sector,Consumer Defensive
country,US
fullTimeEmployees,319
phone,18055255541
address,1141 Cummings Rd
city,Santa Paula
state,CALIFORNIA
zip,93060
dcfDiff,-2.58
dcf,14.745
image,https://financialmodelingprep.com/image-stock/LMNR.png
ipoDate,2001-11-08
defaultImage,False
