,0
symbol,LPI
price,10.52
beta,4.57745
volAvg,431464
mktCap,126279984
lastDiv,0.0
range,6.6-61.0
changes,0.19
companyName,Laredo Petroleum Inc
currency,USD
cik,0001528129
isin,US5168062058
cusip,516806205
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Oil & Gas E&P
website,http://www.laredopetro.com
description,"Laredo Petroleum, Inc. (Laredo) is an independent energy company. The Company is focused on the acquisition, exploration and development of oil and natural gas properties, and the transportation of oil and natural gas from such properties primarily in the Permian Basin in West Texas. It operates through two segments: Exploration and production of oil and natural gas properties, and Midstream and marketing. The exploration and production of oil and natural gas properties are conducted by it through the exploration and development of its acreage in the Permian Basin. As of December 31, 2016, it had assembled 127,847 net acres in the Permian Basin and had total proved reserves, presented on a three-stream basis, of 167,100 thousand of barrels of oil equivalent (MBOE). The Midstream and marketing segment's operations are conducted by its subsidiary, Laredo Midstream Services, LLC, which buys, sells, gathers and transports oil, natural gas and water primarily for the account of Laredo."
ceo,Mr. Mikell Pigott
sector,Energy
country,US
fullTimeEmployees,280
phone,19185134570
address,15 W 6th St Ste 900
city,Tulsa
state,OKLAHOMA
zip,74119
dcfDiff,-10.43
dcf,8.68664
image,https://financialmodelingprep.com/image-stock/LPI.png
ipoDate,2011-12-15
defaultImage,False
