,0
symbol,LSI
price,114.71
beta,0.38462
volAvg,355636
mktCap,5574619100
lastDiv,4.28
range,67.31-119.94
changes,0.56
companyName,Life Storage Inc
currency,USD
cik,0000944314
isin,US53223X1072
cusip,53223X107
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REIT Industrial
website,https://www.lifestorage.com/
description,"Life Storage, Inc. is a real estate investment trust, which engages in the acquisition, ownership, and management of self-storage properties. The company is headquartered in Williamsville, New York and currently employs 1,953 full-time employees. The firm acquires, owns and manages self-storage properties. The firm owns its assets and conducts its operations through Life Storage LP (the Operating Partnership) and subsidiaries of the Operating Partnership. The firm operates over 775 storage facilities in 28 states under the names Life Storage and Uncle Bob's Self Storage. The firm's properties are located in various states of the United States, such as Alabama, Arizona, Colorado, California, Florida, Georgia, Maine, Kentucky, Nevada, New Jersey, Ohio, North Carolina, South Carolina, Texas, Utah and Virginia."
ceo,Mr. Joseph Saffire
sector,Real Estate
country,US
fullTimeEmployees,1943
phone,18008003456
address,6467 MAIN ST
city,Buffalo
state,NEW YORK
zip,14221
dcfDiff,
dcf,114.634
image,https://financialmodelingprep.com/image-stock/LSI.png
ipoDate,1995-06-22
defaultImage,False
