,0
symbol,LWAY
price,5.01
beta,1.66271
volAvg,154303
mktCap,78178552
lastDiv,0.0
range,1.43-8.89
changes,-0.11
companyName,Lifeway Foods Inc
currency,USD
cik,0000814586
isin,US5319141090
cusip,531914109
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Packaged Foods
website,http://lifewaykefir.com/
description,"Lifeway Foods, Inc. engages in the manufacture of probiotic and nutritious foods. The company is headquartered in Morton Grove, Illinois and currently employs 322 full-time employees. The firm is engaged in the sale of fermented dairy products, which are produced and are sold to consumers through a network of distributors and retailers in the United States. Through its distributors, the Company also sells its products to retailers in Mexico, Costa Rica, Dubai, Hong Kong, China and the Caribbean. The firm's primary product is kefir, a dairy beverage similar to but distinct from yogurt, in various flavors and in various package configurations. In addition to the drinkable products, Lifeway manufactures Lifeway Farmer Cheese, a line of various farmer cheeses. Kefir also serves as a base for lower-calorie dressings, dips, marinades, soups or sauces and as a basic ingredient in other home-prepared foods. Recipes are made available through the Company's Website. The firm also markets and sells its ProBugs line of drinkable kefir."
ceo,Ms. Julie Smolyansky
sector,Consumer Defensive
country,US
fullTimeEmployees,307
phone,18479671010
address,6431 Oakton St
city,Morton Grove
state,ILLINOIS
zip,60053
dcfDiff,5.11
dcf,5.32272
image,https://financialmodelingprep.com/image-stock/LWAY.png
ipoDate,1988-12-29
defaultImage,False
