,0
symbol,MAT
price,13.79
beta,1.46945
volAvg,4020407
mktCap,4799471600
lastDiv,0.0
range,6.53-14.88
changes,0.24
companyName,Mattel Inc
currency,USD
cik,0000063276
isin,US5770811025
cusip,577081102
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Leisure
website,http://www.mattel.com
description,"Mattel, Inc. is a global children's entertainment company that specializes in the design and production of toys and consumer products. The company is headquartered in El Segundo, California and currently employs 27,000 full-time employees. The firm's segments are North America; International, and American Girl. Its portfolio of brands and products are grouped into approximately four major brand categories, including Mattel Girls & Boys Brands, Fisher-Price Brands, American Girl Brands and Construction and Arts & Crafts Brands. The Mattel Girls & Boys Brands category includes Barbie fashion dolls, Monster High, Disney Classics, Ever After High, Little Mommy, and Polly Pocket, Hot Wheels and Matchbox vehicles and play sets, and CARS, Disney Planes, BOOMco, Toy Story, Max Steel, WWE Wrestling and DC Comics. The Fisher-Price Brands category includes Fisher-Price, Little People, BabyGear, Laugh & Learn, Imaginext, Thomas & Friends, Blaze and The Monster Machines, Shimmer and Shine, Mickey Mouse Clubhouse, Minnie Mouse, Octonauts, and Power Wheels. The Construction and Arts & Crafts Brands category includes MEGA BLOKS, RoseArt and Board Dudes."
ceo,Mr. Ynon Kreiz
sector,Consumer Cyclical
country,US
fullTimeEmployees,24000
phone,13105243607
address,333 CONTINENTAL BLVD
city,El Segundo
state,CALIFORNIA
zip,90245-5012
dcfDiff,-6.99
dcf,14.1731
image,https://financialmodelingprep.com/image-stock/MAT.png
ipoDate,1963-08-12
defaultImage,False
