,0
symbol,MBINO
price,25.9
beta,1.205487
volAvg,15610
mktCap,0
lastDiv,1.5
range,10.95-27.2
changes,0.12
companyName,Merchants Bancorp
currency,USD
cik,
isin,
cusip,
exchange,NasdaqGS
exchangeShortName,NASDAQ
industry,Banks Regional
website,http://www.merchantsbankofindiana.com
description,
ceo,Mr. Michael J. Dunlap
sector,Financial Services
country,United States
fullTimeEmployees,329
phone,317-569-7420
address,11555 North Meridian Street
city,Carmel
state,IN
zip,46032
dcfDiff,
dcf,
image,https://financialmodelingprep.com/image-stock/MBINO.jpg
ipoDate,
defaultImage,True
