,0
symbol,MCR
price,8.49
beta,0.43788
volAvg,71995
mktCap,376234336
lastDiv,0.64025
range,5.49-8.77
changes,0.03
companyName,MFS Charter Income Trust
currency,USD
cik,
isin,US5527271093
cusip,552727109
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.mfs.com/wps/portal/mfs/us-investor/products/closed-end-funds/!ut/p/a1/04_Sj9CPykssy0xPLM
description,"MFS Charter Income Trust (Fund) is a diversified closed-end management investment company. The Fund's investment objective is to seek high current income, but may also consider capital appreciation. The Fund normally invests in debt instruments. The Fund also invests in corporate bonds of the United States and/or foreign issuers, the United States Government securities, foreign government securities, mortgage-backed and other asset-backed securities and/or debt instruments of issuers located in emerging market countries. The Fund's portfolio comprises bonds, floating rate loans, equities, cash and cash equivalent and other. It invests in a range of Fixed income sectors, such as high yield corporates non-united states government bonds, investment grade corporates, emerging markets bonds, commercial mortgage-backed securities, asset-backed securities and collateralized debt obligations. Massachusetts Financial Services Company is the Fund's investment advisor."
ceo,David L. DiLorenzo
sector,Financial Services
country,US
fullTimeEmployees,
phone,18006372929
address,"111 Huntington Avenue, 24Th Floor"
city,
state,COLOMBIA
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/MCR.png
ipoDate,1989-07-21
defaultImage,False
