,0
symbol,MFGP
price,3.4452
beta,1.098149
volAvg,1130152
mktCap,1136798850
lastDiv,0.5833
range,2.78-14.885
changes,0.2152
companyName,Micro Focus Intl PLC ADS each representing One Ord Sh
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Software Infrastructure
website,http://www.microfocus.com
description,
ceo,Mr. Stephen Murdoch
sector,Technology
country,United Kingdom
fullTimeEmployees,12100
phone,44 1635 565200
address,The Lawn
city,Newbury
state,
zip,RG14 1QN
dcfDiff,389.56
dcf,415.06
image,https://financialmodelingprep.com/image-stock/MFGP.jpg
ipoDate,
defaultImage,True
