,0
symbol,MFO
price,24.65
beta,0.081565
volAvg,10256
mktCap,9769066500
lastDiv,2.0
range,3.71-26.47
changes,0.15
companyName,MFA Financial Inc. 8.00% Senior Notes due 2042
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,REITs
website,http://www.mfafinancial.com
description,
ceo,None
sector,Real Estate
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/MFO.jpg
ipoDate,
defaultImage,True
