,0
symbol,MMC
price,112.97
beta,0.80649
volAvg,1749383
mktCap,57297367000
lastDiv,1.84
range,74.33-120.97
changes,0.64
companyName,Marsh & McLennan Companies Inc
currency,USD
cik,0000062709
isin,US5717481023
cusip,571748102
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Insurance Brokers
website,https://www.mmc.com/
description,"Marsh & McLennan Cos., Inc. is a professional services firm, which offers clients advice and solutions in risk, strategy and people. The company is headquartered in New York, New York and currently employs 65,000 full-time employees. The firm is the parent company of various risk advisors and specialty consultants, including Marsh, the insurance broker; Guy Carpenter, the risk and reinsurance specialist; Mercer, the provider of human resource and investment related financial advice and services, and Oliver Wyman Group, the management and economic consultancy. The company conducts business through two segments: Risk and Insurance Services, which includes risk management activities, as well as insurance and reinsurance broking and services, and Consulting includes health, retirement, talent and investments consulting services and products, and specialized management, economic and brand consulting services. The company conducts business in the Risk and Insurance Services segment through Marsh and Guy Carpenter. The company conducts business in the Consulting segment through Mercer and Oliver Wyman Group."
ceo,Mr. Daniel Glaser
sector,Financial Services
country,US
fullTimeEmployees,76000
phone,12123455000
address,1166 Avenue of the Americas
city,New York City
state,NEW YORK
zip,10036-2774
dcfDiff,-14.78
dcf,114.56
image,https://financialmodelingprep.com/image-stock/MMC.jpg
ipoDate,1969-06-04
defaultImage,True
