,0
symbol,MNKD
price,2.73
beta,2.18772
volAvg,2550156
mktCap,635000700
lastDiv,0.0
range,0.8-3.2
changes,-0.03
companyName,MannKind Corp
currency,USD
cik,0000899460
isin,US56400P7069
cusip,56400P706
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Biotechnology
website,http://www.mannkindcorp.com
description,"MannKind Corp. is a biopharmaceutical company. The company is headquartered in Westlake Village, California and currently employs 225 full-time employees. The firm is focused on the discovery and development of therapeutic products for diseases, such as diabetes. Its product candidate is AFREZZA, which is an inhaled insulin used to control high blood sugar in adults with type I and type II diabetes and helps in glycemic control. AFREZZA consists of a dry formulation of human insulin delivered from a portable inhaler. AFREZZA utilizes its Technosphere formulation technology. Technosphere is a drug delivery platform that may allow the oral inhalation of a range of therapeutics. Technosphere powders are based on the Company's fumaryl diketopiperazine (FDKP), which is a potential of Hydrogen (pH)-sensitive organic molecule that self-assembles into small particles under acidic conditions. The firm has also created a range of breath-powered, dry powder inhalers. Its inhalers can be produced in both a reusable (chronic treatment) and a single-use (acute treatment) format."
ceo,Dr. Michael Castagna
sector,Healthcare
country,US
fullTimeEmployees,233
phone,18186615000
address,30930 Russell Ranch Rd Ste 300
city,Westlake Village
state,CALIFORNIA
zip,91362
dcfDiff,-1.59
dcf,2.17291
image,https://financialmodelingprep.com/image-stock/MNKD.png
ipoDate,2004-07-28
defaultImage,False
