,0
symbol,MTD
price,1179.29
beta,1.03831
volAvg,105892
mktCap,28060735500
lastDiv,0.0
range,579.4-1228.41
changes,21.42
companyName,Mettler-Toledo International Inc
currency,USD
cik,0001037646
isin,US5926881054
cusip,592688105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Diagnostics & Research
website,https://www.mt.com/
description,"Mettler-Toledo International, Inc. manufactures and markets precision instruments for use in laboratory, industrial and food retailing applications. The company is headquartered in Columbus, Ohio and currently employs 16,000 full-time employees. The firm operates through five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations and Other. The firm manufactures weighing instruments for use in laboratory, industrial, packaging, logistics and food retailing applications. The firm is also a provider of analytical instruments for use in life science, reaction engineering and real-time analytic systems used in drug and chemical compound development, and process analytics instruments used for in-line measurement in production processes. In addition, the Company is also a supplier of end-of-line inspection systems used in production and packaging for food, pharmaceutical and other industries. The firm serves food and beverage producers; food retailers; chemical, specialty chemicals and cosmetics companies, and the transportation and logistics industry, among others."
ceo,Mr. Oliver Filliol
sector,Healthcare
country,US
fullTimeEmployees,16200
phone,16144384511
address,1900 Polaris Pkwy
city,Columbus
state,OHIO
zip,43240
dcfDiff,-513.59
dcf,1040.26
image,https://financialmodelingprep.com/image-stock/MTD.jpg
ipoDate,1997-11-13
defaultImage,True
