,0
symbol,MTG
price,11.23
beta,1.94422
volAvg,5416364
mktCap,3802185980
lastDiv,0.24
range,4.34-15.24
changes,0.22
companyName,MGIC Investment Corp
currency,USD
cik,0000876437
isin,US5528481030
cusip,552848103
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Insurance Specialty
website,https://www.mgic.com/
description,"MGIC Investment Corp. is a private mortgage insurer that serves lenders throughout the United States, and Puerto Rico. The company is headquartered in Milwaukee, Wisconsin and currently employs 793 full-time employees. The Company, through its subsidiaries, provides private mortgage insurance and ancillary services. The firm provides mortgage insurance to lenders throughout the United States and to government-sponsored entities to protect against loss from defaults on low down payment residential mortgage loans. Its principal product is primary mortgage insurance. Primary insurance provides mortgage default protection on individual loans and covers unpaid loan principal, delinquent interest and certain expenses associated with the default and subsequent foreclosure or sale approved by the Company. Through certain other non-insurance subsidiaries, the Company also provides various services for the mortgage finance industry, such as contract underwriting, analysis of loan originations and portfolios, and mortgage lead generation. The firm's subsidiaries include Mortgage Guaranty Insurance Corporation (MGIC) and MGIC Indemnity Corporation (MIC)."
ceo,Mr. Timothy Mattke
sector,Financial Services
country,US
fullTimeEmployees,724
phone,14143476480
address,250 E Kilbourn Ave
city,Milwaukee
state,WISCONSIN
zip,53202
dcfDiff,-14.16
dcf,10.2728
image,https://financialmodelingprep.com/image-stock/MTG.png
ipoDate,1991-08-06
defaultImage,False
