,0
symbol,NEA
price,14.6029
beta,0.13655
volAvg,419792
mktCap,4068221950
lastDiv,0.7245000000000003
range,10.51-15.06
changes,-0.0071
companyName,Nuveen Amt-Free Quality Municipal Income Fund
currency,USD
cik,
isin,US6706571055
cusip,670657105
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,Asset Management
website,https://www.nuveen.com/cef/Product/Overview.aspx?FundCode=NEA
description,"Nuveen AMT-Free Quality Municipal Income Fund is a diversified, closed-end management investment company. The Fund's investment objectives are to provide current income exempt from regular federal income tax and the alternative minimum tax applicable to individuals. The Fund invests primarily in a portfolio of municipal obligations issued by state and local government authorities or certain United States territories. It invests in various sectors, such as healthcare, transportation, education and civic organizations and utilities. It has investments in geographical areas, including Missouri, Texas, Florida and New York. Its investment advisor is Nuveen Fund Advisors, LLC."
ceo,Cedric H. Antosiewicz
sector,Financial Services
country,US
fullTimeEmployees,
phone,13129178146
address,333 W Wacker Dr
city,Boston
state,MASSACHUSETTS
zip,
dcfDiff,
dcf,0.0
image,https://financialmodelingprep.com/image-stock/NEA.jpg
ipoDate,2002-11-22
defaultImage,True
