,0
symbol,NEN
price,47.79
beta,0.47617
volAvg,1038
mktCap,169469072
lastDiv,1.28
range,41.08-64.8
changes,-1.17
companyName,New England Realty Associates LP
currency,USD
cik,0000746514
isin,US6442061049
cusip,644206104
exchange,NYSE American
exchangeShortName,AMEX
industry,Real Estate Services
website,https://www.thehamiltoncompany.com/Investor-Relations.aspx
description,"New England Realty Associates LP engages in the business of acquiring, developing and holding for investment, operating and selling real estate. The company is headquartered in Allston, Massachusetts and currently employs 0 full-time employees. The Company, directly or through approximately 30 subsidiary limited partnerships or limited liability companies, owns and operates various residential apartment buildings, condominium units and commercial properties located in Massachusetts and New Hampshire. The firm and its subsidiary limited partnerships and limited liabilities companies (Subsidiary Partnerships) owned approximately 2,510 residential apartment units in approximately 20 residential and mixed-use complexes (collectively, the Apartment Complexes). The firm also owns approximately 20 condominium units in a residential condominium complex, all of which are leased to residential tenants. The Apartment Complexes, the condominium units and the investment properties are located in the metropolitan Boston area of Massachusetts."
ceo,Ronald Brown
sector,Real Estate
country,US
fullTimeEmployees,0
phone,16177830039
address,39 Brighton Ave
city,Allston
state,MASSACHUSETTS
zip,
dcfDiff,
dcf,110.152
image,https://financialmodelingprep.com/image-stock/NEN.jpg
ipoDate,1987-11-19
defaultImage,True
