,0
symbol,NEWT
price,17.3
beta,1.33358
volAvg,140472
mktCap,370825472
lastDiv,2.29
range,7.59-23.73
changes,0.15
companyName,Newtek Business Services Corp
currency,USD
cik,0001587987
isin,US6525262035
cusip,652526203
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Asset Management
website,https://www.newtekone.com/
description,"Newtek Business Services Corp. is a non-diversified closed-end management investment company, which engages in the provision of business and financial solutions. The company is headquartered in Boca Raton, Florida and currently employs 175 full-time employees. The firm's investment objective is to generate both current income and capital appreciation primarily through loans originated by its small business finance platform and its equity investments in certain portfolio companies that it controls. The firm is a national non-bank lender that provides, together with its controlled portfolio companies, a range of business services and financial products under the Newtek brand to the small and medium-sized business (SMB) market. The firm issues debt and makes equity investments in portfolio companies in various industries. Its products and services include Business Lending including the United States Small Business Administration (SBA) 7(a) and 504 lending, Electronic Payment Processing, Managed Technology Solutions (Cloud Computing), Data Backup, and Payroll and Benefits Solutions to SMB accounts across all industries."
ceo,Mr. Barry Sloane
sector,Financial Services
country,US
fullTimeEmployees,109
phone,12123569500
address,"4800 T REX AVENUE, SUITE 120"
city,Boca Raton
state,FLORIDA
zip,33431
dcfDiff,-22.33
dcf,19.2494
image,https://financialmodelingprep.com/image-stock/NEWT.png
ipoDate,1980-03-17
defaultImage,False
