,0
symbol,NEXT
price,2.39
beta,-0.15151
volAvg,605830
mktCap,298793024
lastDiv,0.0
range,1.115-6.78
changes,0.03
companyName,NextDecade Corp
currency,USD
cik,0001612720
isin,US65342K1051
cusip,65342K105
exchange,NASDAQ Capital Market
exchangeShortName,NASDAQ
industry,Oil & Gas E&P
website,https://www.next-decade.com/
description,"NextDecade Corp. is a development company, which focuses on liquefied natural gas (LNG) export projects and associated pipelines. The company is headquartered in Houston, Texas and currently employs 36 full-time employees. The firm is engaged in developing of land-based Liquefied Natural Gas (LNG) projects and associated pipelines in the integrated gas industry in the State of Texas. The firm is focused on providing solutions for LNG across the full value chain. The firm is developing a land-based LNG project called Rio Grande LNG, which includes the development of a new natural gas pipeline, treatment and liquefaction facilities, as well as onsite LNG storage and distribution facilities. The Company’s RGLNG project is located in close proximity to associated and stranded gas resources in the Permian Basin and Eagle Ford Shale. The Pipeline consists of two parallel, buried 42 inches outside-diameter pipelines running between the terminal and the pipeline’s northern terminus, a distance of approximately 137 pipeline miles, and related facilities."
ceo,Mr. Matthew Schatzman
sector,Energy
country,US
fullTimeEmployees,74
phone,17135741880
address,1000 Louisiana St Ste 3900
city,Houston
state,TEXAS
zip,77002
dcfDiff,-5.29
dcf,2.74429
image,https://financialmodelingprep.com/image-stock/NEXT.png
ipoDate,2015-03-24
defaultImage,False
