,0
symbol,NFBK
price,10.95
beta,0.6902
volAvg,233373
mktCap,581692480
lastDiv,0.44
range,8.72-17.55
changes,0.21
companyName,Northfield Bancorp Inc
currency,USD
cik,0001493225
isin,
cusip,
exchange,Nasdaq Global Select
exchangeShortName,NASDAQ
industry,Banks Regional
website,http://www.snl.com/IRW/CorporateProfile/4087277
description,"Northfield Bancorp, Inc. is a holding company, which engages in the provision of banking and financial services. The company is headquartered in Woodbridge, New Jersey and currently employs 347 full-time employees. The Bank is a federally chartered savings bank. The Bank's principal business consists of originating multifamily and other commercial real estate loans, purchasing investment securities, including mortgage-backed securities and corporate bonds, and to a lesser extent depositing funds in other financial institutions. In addition, the Bank refers its customers to independent third parties that provide non-deposit investment products, and one- to four-family residential mortgage products. As of December 31, 2016, the Bank conducted business from its home office located in Staten Island, New York, its operations center located in Woodbridge, New Jersey, its 37 additional branch offices located in New York and New Jersey, and a non-branch office located in Brooklyn, New York. The branch offices are located in Staten Island, Brooklyn, and the New Jersey counties of Hunterdon, Mercer, Middlesex and Union."
ceo,Mr. Steven Klein
sector,Financial Services
country,US
fullTimeEmployees,357
phone,17324997200
address,581 Main St Ste 810
city,Woodbridge
state,NEW JERSEY
zip,07095
dcfDiff,-14.72
dcf,0.0
image,https://financialmodelingprep.com/image-stock/NFBK.png
ipoDate,2007-11-08
defaultImage,False
