,0
symbol,NGHC
price,34.07
beta,0.99664
volAvg,597223
mktCap,3866093310
lastDiv,0.2
range,11.82-34.48
changes,-0.02
companyName,National General Holdings Corp
currency,USD
cik,0001578735
isin,US6362203035
cusip,636220303
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,Insurance Property & Casualty
website,http://ir.nationalgeneral.com/investor-relations
description,"National General Holdings Corp. is a specialty personal lines insurance company, which engages in the provision of specialty personal lines insurance products. The company is headquartered in New York City, New York and currently employs 8,440 full-time employees. Through its subsidiaries, the Company provides a range of insurance products, including personal and commercial automobile, homeowners, umbrella, recreational vehicle, supplemental health, lender-placed and other niche products. The company operates through two segments: Property and Casualty (P&C) and Accident and Health (A&H). Its P&C segment offers its P&C insurance products through a network of agents, a number of affinity partners and through direct-response marketing programs. Its A&H segment provides accident and non-major medical health insurance products targeting its existing P&C policyholders and the anticipated market of employed persons who are uninsured or underinsured. The P&C segment operates its business through three distribution channels: agency, affinity and direct. The A&H segment provides supplemental accident and health insurance products."
ceo,Mr. Barry Karfunkel
sector,Financial Services
country,US
fullTimeEmployees,9200
phone,12123809500
address,59 Maiden Ln Fl 38
city,New York City
state,NEW YORK
zip,10038
dcfDiff,-23.91
dcf,35.7193
image,https://financialmodelingprep.com/image-stock/NGHC.jpg
ipoDate,2013-06-18
defaultImage,True
